"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_7_66560_10485760"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"9637888"	"0"	"null"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/$Unalloc/Unalloc_7_66560_10485760"
"Unalloc_3_0_512"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"512"	"0"	"null"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol1/Unalloc_3_0_512"
"TESTDISK    (Volume Label Entry)"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2011-02-02 15:09:50 WIB"	"0"	"3"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/TESTDISK    (Volume Label Entry)"
"._.Trashes"	".Trashes"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:50 WIB"	"2011-02-02 15:09:50 WIB"	"4096"	"5"	"a3944ee8c4f5b536981daf39a4b1d424"	"unknown"	"rr-xr-xr-x"	"/img_nps-2010-emails.E01/vol_vol2/._.Trashes"
"testfile.doc"	".doc"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"26112"	"6"	"f2a04d798454899731095add1f01c3dd"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/testfile.doc"
"testfile.doc-slack"	".doc-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"512"	"6"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/testfile.doc-slack"
"._501"	"._501"	"r"	"yes"	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:50 WIB"	"2011-02-02 15:09:50 WIB"	"4096"	"519"	"5ecad39c470178e1b0ef93e534b60fda"	"unknown"	"rr-xr-xr-x"	"/img_nps-2010-emails.E01/vol_vol2/.Trashes/._501"
"fseventsd-uuid"	""	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:50 WIB"	"2011-02-02 15:09:50 WIB"	"36"	"711"	"78bdfe6028c44505dbee9a250b5dc782"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/.fseventsd/fseventsd-uuid"
"fseventsd-uuid-slack"	""	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:50 WIB"	"2011-02-02 15:09:50 WIB"	"988"	"711"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/.fseventsd/fseventsd-uuid-slack"
"636573a9bdc4f9e3"	""	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"179"	"714"	"69fbec1131c3e1d7335c58dab289054a"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/.fseventsd/636573a9bdc4f9e3"
"636573a9bdc4f9e3-slack"	""	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"845"	"714"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/.fseventsd/636573a9bdc4f9e3-slack"
"document1.pdf"	".pdf"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"9485"	"12"	"b4a38c4189033656f029215b49f5b878"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/document1.pdf"
